created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-06T00:45:11Z,1622395950697267200,1622395950697267202,"El Spotify Camp Nou siempre será tu casa, @ivanrakitic https://t.co/faF0k6lJww","El Spotify Camp Nou siempre será tu casa, @ivanrakitic https://t.co/faF0k6lJww",FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,122,2017,FALSE,NA,FALSE,NA,es,FALSE,NA,54,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06T00:30:12Z,1622392176717041700,1622392176717041664,Amor por el Barça https://t.co/j5gREbfbp4,Amor por el Barça https://t.co/j5gREbfbp4,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,225,2494,FALSE,NA,FALSE,NA,es,FALSE,NA,17,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06T00:15:12Z,1622388403676364800,1622388403676364806,Así empezó   /   Así acabó https://t.co/Owe72XMLHD,Así empezó   /   Así acabó https://t.co/Owe72XMLHD,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,77,1725,FALSE,NA,FALSE,NA,es,FALSE,NA,26,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06T00:00:15Z,1622384642463522800,1622384642463522817,Un crit valent https://t.co/xagHf4zhFs,Un crit valent https://t.co/xagHf4zhFs,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,133,2695,FALSE,NA,FALSE,NA,fr,FALSE,NA,14,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:50:11Z,1622382109619798e3,1622382109619798030,"¿Qué le dice?

Solo respuestas incorrectas https://t.co/l2MVV9qSOD","¿Qué le dice?

Solo respuestas incorrectas https://t.co/l2MVV9qSOD",FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,118,2507,FALSE,NA,FALSE,NA,es,FALSE,NA,42,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:40:11Z,1622379591909212200,1622379591909212160,Tweet de apreciación para Andreas Christensen https://t.co/iBravBqQ79,Tweet de apreciación para Andreas Christensen https://t.co/iBravBqQ79,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,496,8705,FALSE,NA,FALSE,NA,es,FALSE,NA,45,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:30:00Z,1622377027549667300,1622377027549667328,😁 Más líderes,😁 Más líderes,FALSE,,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,97,2053,FALSE,NA,FALSE,NA,es,NA,NA,13,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:20:11Z,1622374559621021700,1622374559621021700,"Vuestro apoyo es T😍P, culers https://t.co/YATIm62aAj","Vuestro apoyo es T😍P, culers https://t.co/YATIm62aAj",FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,171,2986,FALSE,NA,FALSE,NA,es,FALSE,NA,28,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:10:11Z,1622372039934746600,1622372039934746624,Tú ahora mismo: https://t.co/qutmavBb7a,Tú ahora mismo: https://t.co/qutmavBb7a,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,188,3724,FALSE,NA,FALSE,NA,es,FALSE,NA,15,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T23:04:14Z,1622370543243612200,1622370543243612160,La Xavineta pone la octava marcha https://t.co/BfSw6aWJID,La Xavineta pone la octava marcha https://t.co/BfSw6aWJID,FALSE,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,810,10661,FALSE,NA,FALSE,NA,ca,FALSE,NA,33,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
